Systematic || Standard	cbf1_dmet6_t0	cbf1_dmet6_t2.5	cbf1_dmet6_t5	cbf1_dmet6_t15	cbf1_dmet6_t30	cbf1_dmet6_t45	cbf1_dmet6_t60	cbf1_dmet6_t90	met31_dmet6_t0	met31_dmet6_t2.5	met31_dmet6_t5	met31_dmet6_t15	met31_dmet6_t30	met31_dmet6_t45	met31_dmet6_t60	met31_dmet6_t90	met32_dmet6_t0	met32_dmet6_t2.5	met32_dmet6_t5	met32_dmet6_t15	met32_dmet6_t30	met32_dmet6_t45	met32_dmet6_t60	met32_dmet6_t90	met28_dmet6_t0	met28_dmet6_t2.5	met28_dmet6_t5	met28_dmet6_t15	met28_dmet6_t30	met28_dmet6_t45	met28_dmet6_t60	met28_dmet6_t90	met4_dmet6_t0	met4_dmet6_t2.5	met4_dmet6_t5	met4_dmet6_t15	met4_dmet6_t30	met4_dmet6_t45	met4_dmet6_t60	met4_dmet6_t90	wt_dmet6_t0	wt_dmet6_t2.5	wt_dmet6_t5	wt_dmet6_t15	wt_dmet6_t30	wt_dmet6_t45	wt_dmet6_t60	wt_dmet6_t90
YNL134C || YNL134C	0	0.105966	0.034827	0.096176	-0.015243	-0.023751	-0.159107	-0.474843	0	-0.134583	-0.14483	0.153608	-0.046205	-0.133626	-0.187343	-0.14714	0	-0.193508	-0.100496	0.311559	0.067379	-0.075967	0.054618	-0.062505	0	-0.047023	0.002479	0.043369	0.072734	0.129229	0.143616	-0.03815	0	0.036877	0.022356	0.176053	-0.026382	-0.158736	-0.407356	-0.314725	0	0	0	0	0	0	0	0
YER055C || HIS1	0	0.147753	0.132586	0.040342	-0.145759	-0.312558	-0.428854	-0.295166	0	-0.163084	-0.064851	0.024277	-0.024878	-0.138323	-0.159039	-0.088033	0	-0.140131	-0.06199	0.445814	-0.060652	-0.119394	-0.115988	-0.122048	0	-0.096296	0.04519	-0.009549	0.079955	0.246731	0.343887	0.317441	0	0.086522	0.145201	0.169852	-0.117747	-0.235684	-0.527972	-0.718684	0	0	0	0	0	0	0	0
YPL280W || HSP32	0	-0.025995	0.044997	-0.001274	0.017373	-0.127979	-0.140806	-0.182305	0	-0.125029	-0.042351	-0.049857	-0.050673	-0.06683	-0.136047	-0.304043	0	-0.009634	-0.021704	0.255553	0.084684	0.039145	0.006062	0.005131	0	-0.056655	0.029199	-0.056266	0.014128	0.162124	-0.034464	-0.181818	0	-0.020227	-0.030389	-0.070872	0.024889	-0.113095	-0.321924	-0.710231	0	0	0	0	0	0	0	0
YMR322C || SNO4	0	-0.026404	0.060847	0.056458	0.107786	0.021026	-0.126447	-0.09127	0	-0.112067	0.015167	0.007636	0.018906	-0.000539	-0.056112	-0.200241	0	-0.075807	-0.12157	0.217342	0.037893	0.025188	0.017028	-0.035198	0	-0.048831	0.039293	0.003821	-0.022416	0.116969	-0.033436	-0.19005	0	-0.006112	-0.012457	-0.070759	0.07933	-0.050006	-0.2223	-0.685263	0	0	0	0	0	0	0	0
YNL160W || YGP1	0	0.030861	0.131468	0.128406	0.044056	-0.221698	-0.448305	-0.806111	0	0.007424	-0.059891	0.078461	0.105804	-0.140714	-0.311965	-0.464727	0	-0.059947	-0.044816	0.569552	0.138978	-0.01235	-0.129212	-0.210046	0	-0.033613	-0.042623	-0.041091	-0.108077	-0.076334	-0.267553	-0.227709	0	0.024236	0.005257	0.195172	0.046709	-0.453064	-1.078618	-1.319365	0	0	0	0	0	0	0	0
YDR077W || SED1	0	0.178574	0.271226	0.344617	0.198017	-0.025886	-0.295259	-0.458038	0	0.251016	0.052693	0.138013	-0.120234	-0.263145	-0.233712	-0.29348	0	0.091585	0.009527	0.448856	-0.009168	0.010847	0.032505	0.022507	0	0.046297	0.117965	0.123922	-0.022385	0.070711	0.02047	-0.002458	0	-0.030118	0.083583	0.101299	-0.129377	-0.442129	-0.721744	-0.985697	0	0	0	0	0	0	0	0
YOL052C-A || DDR2	0	0.174941	0.399305	0.740748	0.308088	-0.147266	-0.373819	-1.174968	0	0.139555	0.100229	0.327504	0.171477	-0.257007	-0.414288	-0.830357	0	-0.097793	-0.003906	-0.277202	0.366704	0.265901	0.261601	0.081361	0	-0.234151	-0.080994	-0.027336	-0.223371	-0.614621	-0.502733	-0.831305	0	-0.013767	0.001551	0.344198	0.241842	-0.170374	-0.940352	-1.726098	0	0	0	0	0	0	0	0
YDR070C || FMP16	0	0.028632	0.080095	0.378788	0.328105	0.082308	-0.300365	-0.334005	0	-0.061799	-0.093454	0.031047	-0.001932	-0.164748	-0.213183	-0.22877	0	-0.062047	-0.03429	0.188373	0.101613	0.016096	-0.084062	-0.183839	0	0.077384	0.09804	0.205604	0.277575	0.336386	0.301674	0.161875	0	0.040408	0.08579	0.209344	0.083141	-0.225064	-0.630998	-1.029871	0	0	0	0	0	0	0	0
YJL016W || YJL016W	0	0.064032	0.164623	0.11511	0.168895	0.105072	-0.100658	-0.10501	0	0.013399	-0.050772	0.030644	-0.013643	-0.055854	-0.158006	-0.318745	0	0.014346	0.024707	0.154253	0.237293	0.145568	-0.021139	-0.06373	0	0.027618	0.080318	0.020583	0.124886	0.292607	0.2338	0.111649	0	0.040401	0.039189	0.165856	0.117653	-0.069859	-0.257196	-0.5047	0	0	0	0	0	0	0	0
YPR149W || NCE102	0	0.148235	0.18266	0.175068	0.018941	0.011218	-0.173942	-0.137764	0	-0.0633	0.019471	0.210366	0.104012	-0.280287	-0.300833	-0.530526	0	-0.263834	-0.188945	0.242081	0.230844	0.151184	0.126317	0.135283	0	-0.152013	-0.008555	0.027779	0.061822	0.09163	0.153952	0.096592	0	0.123123	0.15353	0.21165	0.300984	0.072665	-0.328117	-0.938047	0	0	0	0	0	0	0	0
